Provider,Category,Overall,Short,Medium,Long,Cost_Per_Page,Cost_Short,Cost_Medium,Cost_Long,P_Short,P_Medium,P_Long,R_Short,R_Medium,R_Long,Word_Grounding,Word_Grounding_Short,Word_Grounding_Medium,Word_Grounding_Long,Page_Grounding,Page_Grounding_Short,Page_Grounding_Medium,Page_Grounding_Long,Latency_S_Per_Doc_Short,Latency_S_Per_Doc_Medium,Latency_S_Per_Doc_Long
Gemma4 E4B,OSS,69.64,81.10,48.93,26.82,,,,,82.30,62.50,71.15,80.72,46.61,25.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.7,80.1,162.6
Gemma4 E2B,OSS,51.85,63.71,28.96,14.58,,,,,68.98,49.08,67.85,62.58,26.00,11.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.9,66.9,151.3
Kimi-VL A3B,OSS,57.77,69.86,34.61,18.94,,,,,71.33,44.22,50.10,69.70,34.33,15.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.5,115.3,212.6
GLM-4.6V Flash,OSS,45.19,47.28,44.52,22.17,,,,,49.86,50.07,55.66,46.46,43.19,18.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174.8,301.9,502.1
Qwen3.8 27B,OSS,89.75,94.68,87.54,38.45,,,,,95.04,93.82,92.29,94.43,84.83,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,192.2,357.7,898.2
Qwen3.5 2B,OSS,63.40,71.22,50.93,25.93,,,,,72.16,57.50,55.62,72.04,50.58,23.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,141.2,307.9,675.3
Qwen3.5 0.8B,OSS,46.63,57.44,26.98,6.65,,,,,59.35,33.80,30.39,58.09,26.19,4.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,144.8,257.5,455.9
Gemma4 12B,OSS,45.39,53.62,30.82,13.16,,,,,56.69,34.18,44.89,53.94,35.29,14.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,164.5,362.7,603.4
Qwen3.5 4B,OSS,82.43,89.06,76.64,27.31,,,,,88.98,85.70,84.33,89.58,73.28,24.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.0,163.4,272.6
Kimi K3,Commercial VLM,83.17,94.64,69.64,4.99,0.0675,0.0780,0.0294,0.0113,94.70,70.26,9.79,94.60,69.09,4.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,130.6,227.6,188.4
